,Angular_Velocity
0,29.00436980805175
1,18.297716797155523
2,9.441524300553773
3,18.32926371431797
4,54.759392762222845
5,82.65200569462183
6,93.95238314676651
7,63.72061356309693
8,27.27962327469563
9,0.5320580842607098
10,18.590567149650656
11,9.149286463854763
12,5.816151713181314
13,3.8422449777822787
14,22.271945370991617
15,39.3722617197735
16,11.4730337292498
17,12.133980180407155
18,16.657948560802023
19,27.403822818537176
20,11.05634355620218
21,22.393963977804585
22,44.50228330370589
23,9.323118453346588
24,5.576587356568119
