,Angular_Velocity
0,32.17519227340571
1,30.94695626283599
2,34.189644901301655
3,44.32275104971669
4,46.38048950728761
5,10.001374615485503
6,56.264556066240104
7,121.23080365493826
8,118.56502128453826
9,40.4093824732965
10,66.38370354638302
11,65.4119802441826
12,0.31653235337014696
13,31.23514443742034
14,7.666475996772262
15,16.442097328999157
16,10.122965178405272
17,40.062508878932725
18,29.342249329653193
19,33.84983893469851
20,9.164526320224537
21,28.8387850728933
22,33.497703207053505
23,10.240768999875195
24,98.83790107217976
