,Angular_Velocity
0,47.05986780256635
1,71.82841515759655
2,127.93377182791521
3,6.186646034033707
4,0.0
5,73.93995075794095
6,127.17641279642136
7,300.89338343522684
8,47.126247925923735
9,693.2524610493258
10,812.702308779466
11,94.19332622990042
12,314.7348604840418
13,70.95347136224842
14,263.75438511477665
15,426.34243777698737
16,379.2163677408272
17,133.99591937114997
18,46.710971328819205
19,965.8585205544911
20,640.7213187686227
21,570.518325502449
22,55.801052639613005
23,74.9676985940193
24,75.95636318534889
25,988.4665330959409
26,384.03245150803974
27,186.6030964745341
28,128.72660589707684
29,333.0993912759358
30,93.86618308593967
31,921.3096484392122
32,120.23835729276118
33,1015.4256289406939
34,537.4590011691113
35,978.762833183752
36,239.91609675302618
37,73.98837487551269
38,384.1928318290165
39,731.8304300822061
40,184.64666238523677
41,581.5287435474474
42,290.1051874486812
43,5.080683575116079
44,527.7570160487685
45,367.4793743536817
46,245.7198735993866
47,238.19465954262313
48,258.706722574136
49,11.336003425702577
50,35.453547552571386
51,704.4012349291073
52,169.84238046378545
53,12.042255968080205
54,539.0766387007673
55,338.8426018825035
56,8.18647571559083
57,58.76026452963305
58,6.285432653466276
59,39.95782592633761
60,195.6949975992009
61,332.4948475433497
62,237.8319569379563
